ownerName,id,team,roomId,serverId,channelId,groupName,periodName,teamId,pinyin,account,liveRoomId
张语格,1,荣誉毕业生,67313770,1099660,1360997,SNH48,SNH48 一期生,1009,ZhangYuGe,20190415141426_prvl7v67faow7us,4614061
赵嘉敏,2,TEAM SII,,,,SNH48,SNH48 一期生,1001,ZhaoJiaMin,,
陈观慧,3,荣誉毕业生,,,,SNH48,SNH48 一期生,1009,ChenGuanHui,,
陈佳莹,4,TEAM NII,,,,SNH48,SNH48 二期生,1002,ChenJiaYing,,
袁雨桢,5,TEAM SII,,,,SNH48,SNH48 二期生,1001,YuanYuZhen,,
董艳芸,6,TEAM NII,,,,SNH48,SNH48 二期生,1002,DongYanYun,,
冯薪朵,7,TEAM NII,,,,SNH48,SNH48 二期生,1002,FengXinDuo,,
孙芮,8,明星殿堂,67322480,,,明星殿堂,SNH48 二期生,1008,SunRui,,3871095
沈之琳,9,预备生,,,,SNH48,SNH48 二期生,1007,ShenZhiLin,,
何晓玉,10,TEAM NII,,,,SNH48,SNH48 二期生,1002,HeXiaoYu,,
温晶婕,11,TEAM SII,,,,SNH48,SNH48 二期生,1001,WenJingJie,,
唐安琪,12,TEAM NII,,,,SNH48,SNH48 二期生,1002,TangAnQi,,
罗兰,13,TEAM NII,,,,SNH48,SNH48 二期生,1002,LuoLan,,
徐子轩,14,TEAM SII,,,,SNH48,SNH48 二期生,1001,XuZiXuan,,
孟玥,15,TEAM NII,,,,SNH48,SNH48 二期生,1002,MengYue,,
李艺彤,16,明星殿堂,,,,明星殿堂,SNH48 二期生,1008,LiYiTong,,
蒋芸,17,荣誉毕业生,67256337,1181021,1115469,SNH48,SNH48 二期生,1009,JiangYun,20190415141431_6ma7ux3q7pg73r8,3868291
徐晨辰,18,荣誉毕业生,67284386,1148747,1361177,SNH48,SNH48 一期生,1009,XuChenChen,20190415141321_or0hgt92gmdz33y,
孔肖吟,19,荣誉毕业生,67333101,,,SNH48,SNH48 一期生,1009,KongXiaoYin,20190415141910_zc0wu5kmxsum62z,
李宇琪,20,荣誉毕业生,67303256,,,SNH48,SNH48 一期生,1009,LiYuQi,20190415141913_5gwzr7kmtklmwjt,
许佳琪,21,荣誉毕业生,67217577,,,SNH48,SNH48 一期生,1009,XuJiaQi,20190415141323_cyy06jkt4o6ea67,
黄婷婷,22,TEAM NII,,,,SNH48,SNH48 二期生,1002,HuangTingTing,,
林思意,24,荣誉毕业生,67217583,1115224,1361178,SNH48,SNH48 二期生,1009,LinSiYi,20190415141354_gsuyrsh7l8rdt30,3870020
万丽娜,25,TEAM HII,,,,SNH48,SNH48 二期生,1003,WanLiNa,,
龚诗淇,26,TEAM NII,,,,SNH48,SNH48 二期生,1002,GongShiQi,,
赵粤,27,荣誉毕业生,67284410,,,SNH48,SNH48 二期生,1009,ZhaoYue,20190415141607_qwpyng70orn18oq,
李清扬,28,预备生,,,,SNH48,SNH48 三期生,1007,LiQingYang,,
郝婉晴,32,TEAM NII,,,,SNH48,SNH48 三期生,1002,HaoWanQing,,
易嘉爱,33,TEAM NII,,,,SNH48,SNH48 二期生,1002,YiJiaAi,,
陆婷,34,荣誉毕业生,67189770,,,SNH48,SNH48 二期生,1009,LuTing,20190415141326_3ql8q1r0qrkioj7,3866800
莫寒,35,荣誉毕业生,67313807,951814,1328237,SNH48,SNH48 一期生,1009,MoHan,20190415141719_po86rgofmzjhrdw,
钱蓓婷,36,荣誉毕业生,67275458,,,SNH48,SNH48 一期生,1009,QianBeiTing,20190415141752_4ssranlu40473lq,3870016
陈思,37,荣誉毕业生,,,,SNH48,SNH48 一期生,1009,ChenSi,,
戴萌,38,荣誉毕业生,67199568,951815,1279970,SNH48,SNH48 一期生,1009,DaiMeng,20190415141357_5514x4gl59p99pn,3871094
吴哲晗,39,荣誉毕业生,67217571,1115409,1377343,SNH48,SNH48 一期生,1009,WuZheHan,20190415141209_gq5sujylnvc98ze,3872011
邱欣怡,40,荣誉毕业生,67352247,,,SNH48,SNH48 一期生,1009,QiuXinYi,20190415141038_9e1nm6qihlgvlkr,3870017
徐伊人,43,IDFT,67217603,,,IDFT,SNH48 三期生,1501,XuYiRen,20190415141758_acd9i8l4xap25j4,
谢妮,45,TEAM NII,,,,SNH48,SNH48 三期生,1002,XieNi,,
刘佩鑫,46,TEAM NII,,,,SNH48,SNH48 三期生,1002,LiuPeiXin,,
王柏硕,47,预备生,,,,SNH48,SNH48 三期生,1007,WangBaiShuo,,
鞠婧祎,48,明星殿堂,,,,明星殿堂,SNH48 二期生,1008,JuJingYi,,
曾艳芬,49,TEAM NII,,,,SNH48,SNH48 二期生,1002,ZengYanFen,,
袋王,63,,67236601,1213763,1361347,官方,官方,,DaiWang,20190415141405_g39rcll22gft9h5,
袁丹妮,67,TEAM SII,,,,SNH48,SNH48 三期生,1001,YuanDanNi,,
陈问言,68,TEAM NII,,,,SNH48,SNH48 二期生,1002,ChenWenYan,,
刘炅然,1544,TEAM K,,,,CKG48,SNH48 三期生,1402,LiuJiongRan,,
徐晗,2470,TEAM HII,,,,SNH48,SNH48 三期生,1003,XuHan,,
张昕,2508,荣誉毕业生,67265436,1246459,1279492,SNH48,SNH48 三期生,1009,ZhangXin,20190415141444_bzsqmgx0770bo7f,3872016
陈怡馨,5560,TEAM HII,,,,SNH48,SNH48 三期生,1003,ChenYiXin,,
